feedback_k,method,n,selectivity_qerr_gm,selectivity_qerr_improvement_pct,scan_regret_gm,join_regret_gm,join_regret_improvement_pct,scan_optimal_match_frac,join_optimal_match_frac,join_fresh_match_frac,risky_stale_cases,risk_resolved_frac,new_risk_loss_frac
2,stale,24576,2.8671303743798524,0.0,1.1828961861214253,1.1871040500312964,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,5003,0.0,0.0
2,isomer,24576,2.0827270233668904,27.35848212631855,1.0955563874462675,1.103064391691603,7.079384350300027,0.8562418619791666,0.8483479817708334,0.8483479817708334,5003,0.3339996002398561,0.008829752604166666
2,oasis,24576,2.8733636371965767,-0.2174042335996857,1.1859329467470807,1.1536874793330683,2.814965604518588,0.7868245442708334,0.8116455078125,0.8116455078125,5003,0.34199480311812913,0.0478515625
2,oasis_projected,24576,2.2328580292309947,22.12220102778019,1.104749965457978,1.112410665351885,6.292067209899768,0.8465576171875,0.8421223958333334,0.8421223958333334,5003,0.4261443134119528,0.033935546875
2,hybrid,24576,2.2329211921671255,22.11999802589736,1.1151413668229992,1.1083618029539484,6.633137767095654,0.8409423828125,0.8458251953125,0.8458251953125,5003,0.4015590645612632,0.0250244140625
2,fresh,24576,1.0,65.12192089568667,1.0,1.0,15.761385872313689,1.0,1.0,1.0,5003,1.0,0.0
4,stale,24576,2.8671303743798524,0.0,1.1828961861214253,1.1871040500312964,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,5003,0.0,0.0
4,isomer,24576,1.7965284238843946,37.34053951861272,1.0650279859653724,1.0755134521714562,9.400237313392893,0.8828531901041666,0.8736165364583334,0.8736165364583334,5003,0.4723166100339796,0.011637369791666666
4,oasis,24576,2.479233183630568,13.529108903294466,1.145369022054732,1.1148211459691786,6.08901166331731,0.8156331380208334,0.8391927083333334,0.8391927083333334,5003,0.4333399960023986,0.038533528645833336
4,oasis_projected,24576,1.8948790520956524,33.91025852790157,1.0704271614742378,1.0798136789482877,9.037992169277839,0.8766682942708334,0.8720703125,0.8720703125,5003,0.5400759544273436,0.027018229166666668
4,hybrid,24576,1.8540238298300564,35.335210201905326,1.0755073968700466,1.0727416551219955,9.633729655482675,0.8753662109375,0.8784586588541666,0.8784586588541666,5003,0.5474715170897462,0.022054036458333332
4,fresh,24576,1.0,65.12192089568667,1.0,1.0,15.761385872313689,1.0,1.0,1.0,5003,1.0,0.0
8,stale,24576,2.8671303743798524,0.0,1.1828961861214253,1.1871040500312964,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,5003,0.0,0.0
8,isomer,24576,1.678251192033419,41.46582216735026,1.054144654660793,1.0638937782187547,10.37906254378404,0.8952229817708334,0.8861897786458334,0.8861897786458334,5003,0.5346791924845093,0.011637369791666666
8,oasis,24576,2.0510710419527456,28.462581950205763,1.105620946210899,1.080419749137325,8.986937656489227,0.8476969401041666,0.8723551432291666,0.8723551432291666,5003,0.5598640815510694,0.031168619791666668
8,oasis_projected,24576,1.6307656080829103,43.12202812069062,1.0493852760342202,1.0545791007931284,11.163718061165245,0.9000244140625,0.8987223307291666,0.8987223307291666,5003,0.644013591844893,0.021158854166666668
8,hybrid,24576,1.5837808593099836,44.760765905089045,1.0485216264817983,1.0491932240788102,11.61741685144199,0.9013264973958334,0.9038899739583334,0.9038899739583334,5003,0.6482110733559864,0.017049153645833332
8,fresh,24576,1.0,65.12192089568667,1.0,1.0,15.761385872313689,1.0,1.0,1.0,5003,1.0,0.0
16,stale,24576,2.8671303743798524,0.0,1.1828961861214253,1.1871040500312964,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,5003,0.0,0.0
16,isomer,24576,1.6640836828563328,41.959957673139755,1.0530435218883145,1.0625334466865222,10.493654986813503,0.8960367838541666,0.8881429036458334,0.8881429036458334,5003,0.5434739156506097,0.011515299479166666
16,oasis,24576,1.7599700439780992,38.615625584910035,1.0716780946260287,1.0563394235726287,11.015430909802749,0.8728841145833334,0.8949381510416666,0.8949381510416666,5003,0.630221866879872,0.0230712890625
16,oasis_projected,24576,1.5184827639451768,47.03823804058377,1.0397975992003037,1.0420595576298768,12.218347026749313,0.9083658854166666,0.9109700520833334,0.9109700520833334,5003,0.6901858884669199,0.018758138020833332
16,hybrid,24576,1.5036904492006042,47.554165564380874,1.0394349734031458,1.0406320272322953,12.338600209066723,0.9078776041666666,0.9122721354166666,0.9122721354166666,5003,0.6735958424945033,0.014119466145833334
16,fresh,24576,1.0,65.12192089568667,1.0,1.0,15.761385872313689,1.0,1.0,1.0,5003,1.0,0.0
