noise_sigma,method,n,selectivity_qerr_gm,selectivity_qerr_improvement_pct,scan_regret_gm,join_regret_gm,join_regret_improvement_pct,scan_optimal_match_frac,join_optimal_match_frac,join_fresh_match_frac,risky_stale_cases,risk_resolved_frac,new_risk_loss_frac
0.0,stale,12288,2.8683100089465032,0.0,1.1821165652558963,1.1807055157712503,0.0,0.7903645833333334,0.7942708333333334,0.7942708333333334,2451,0.0,0.0
0.0,isomer,12288,1.6772339971559052,41.525358419261885,1.0512254553319422,1.0610394210111533,10.135134727640336,0.8986002604166666,0.8911946614583334,0.8911946614583334,2451,0.5393716850265198,0.011149088541666666
0.0,oasis,12288,1.7547072368056884,38.82435192386433,1.0741819210500052,1.059026617211755,10.305609394905991,0.8680826822916666,0.8942057291666666,0.8942057291666666,2451,0.6262749898000816,0.024820963541666668
0.0,oasis_projected,12288,1.5277156635382754,46.73812597755472,1.0421344187553048,1.0461333952863985,11.397602423915819,0.906494140625,0.9090169270833334,0.9090169270833334,2451,0.6756425948592412,0.0205078125
0.0,hybrid,12288,1.5116981990864455,47.296554613297374,1.037799803302475,1.0433664123340642,11.631952388015614,0.91015625,0.91162109375,0.91162109375,2451,0.6580987352101183,0.014973958333333334
0.0,fresh,12288,1.0,65.13626501734768,1.0,1.0,15.304876055670103,1.0,1.0,1.0,2451,1.0,0.0
0.02,stale,12288,2.8683100089465032,0.0,1.1821165652558963,1.1807055157712503,0.0,0.7903645833333334,0.7942708333333334,0.7942708333333334,2451,0.0,0.0
0.02,isomer,12288,1.6772811918047916,41.523713037530506,1.0527598617666771,1.061473790268086,10.098345769586821,0.8984375,0.890380859375,0.890380859375,2451,0.5393716850265198,0.012044270833333334
0.02,oasis,12288,1.7486544296724984,39.03537538765697,1.071645555367911,1.0593256527232822,10.280282545193447,0.8701171875,0.8937174479166666,0.8937174479166666,2451,0.6266829865361077,0.025309244791666668
0.02,oasis_projected,12288,1.5328365586311912,46.55959244816134,1.0414768539678347,1.0456478933014528,11.43872207470601,0.9075520833333334,0.90869140625,0.90869140625,2451,0.6772745818033455,0.020914713541666668
0.02,hybrid,12288,1.5251139607357713,46.82883105456485,1.0389643306208949,1.045046282797058,11.489675550941946,0.9090983072916666,0.9088541666666666,0.9088541666666666,2451,0.6507547939616483,0.016276041666666668
0.02,fresh,12288,1.0,65.13626501734768,1.0,1.0,15.304876055670103,1.0,1.0,1.0,2451,1.0,0.0
0.05,stale,12288,2.8683100089465032,0.0,1.1821165652558963,1.1807055157712503,0.0,0.7903645833333334,0.7942708333333334,0.7942708333333334,2451,0.0,0.0
0.05,isomer,12288,1.710691999560234,40.35888749038842,1.056053328043413,1.0662025378830051,9.69784390423979,0.8954264322916666,0.8857421875,0.8857421875,2451,0.5193798449612403,0.013020833333333334
0.05,oasis,12288,1.7525643941667721,38.89905942173703,1.0701846507532342,1.05954206526002,10.261953458571325,0.87158203125,0.8931477864583334,0.8931477864583334,2451,0.6254589963280294,0.025553385416666668
0.05,oasis_projected,12288,1.549802016112247,45.968113234682356,1.0430440561822405,1.0460274955441646,11.406571615709987,0.9058430989583334,0.9081217447916666,0.9081217447916666,2451,0.6780905752753978,0.021891276041666668
0.05,hybrid,12288,1.535403480802091,46.470099953874,1.0404389884814815,1.046019169168488,11.407276819129933,0.9073079427083334,0.907470703125,0.907470703125,2451,0.6470828233374133,0.016357421875
0.05,fresh,12288,1.0,65.13626501734768,1.0,1.0,15.304876055670103,1.0,1.0,1.0,2451,1.0,0.0
0.1,stale,12288,2.8683100089465032,0.0,1.1821165652558963,1.1807055157712503,0.0,0.7903645833333334,0.7942708333333334,0.7942708333333334,2451,0.0,0.0
0.1,isomer,12288,1.7794199750958084,37.96277356542194,1.0646638305862495,1.0726113521621403,9.15504858453224,0.8875325520833334,0.878662109375,0.878662109375,2451,0.4875560995512036,0.013834635416666666
0.1,oasis,12288,1.7647827925337944,38.473080419156695,1.0725156236422557,1.060175580272788,10.208297826044358,0.8693033854166666,0.892822265625,0.892822265625,2451,0.6242350061199511,0.025634765625
0.1,oasis_projected,12288,1.5802065702393746,44.90809691732847,1.048418542027684,1.0484088381473677,11.204883508777787,0.8997395833333334,0.90478515625,0.90478515625,2451,0.6711546307629539,0.023193359375
0.1,hybrid,12288,1.5649504084149597,45.439983700027334,1.0452041302535704,1.0482645273116449,11.217105932895844,0.9010416666666666,0.9046223958333334,0.9046223958333334,2451,0.638514891880865,0.017252604166666668
0.1,fresh,12288,1.0,65.13626501734768,1.0,1.0,15.304876055670103,1.0,1.0,1.0,2451,1.0,0.0
