subset,method,n_queries,scan_qerr_gm,total_median_ms,geomean_ratio_vs_stale,geomean_ratio_vs_fresh,n_regressions_gt15pct_vs_stale
all,stale,6,8.1665,66681.43,1.0,1.0654,0
all,isomer,6,1.0539,65555.28,0.9311,0.992,0
all,oasis,6,1.8644,65493.38,0.9394,1.0008,0
all,oasis_projected,6,1.1191,65993.47,0.9436,1.0053,0
all,calibrated_hybrid,6,1.0449,66262.01,0.9355,0.9967,0
all,fresh,6,1.0493,65468.07,0.9386,1.0,0
plan_change,stale,1,23.0303,2977.93,1.0,1.5567,0
plan_change,isomer,1,1.117,1808.51,0.6073,0.9454,0
plan_change,oasis,1,2.4872,1808.7,0.6074,0.9455,0
plan_change,oasis_projected,1,1.2586,1850.04,0.6212,0.9671,0
plan_change,calibrated_hybrid,1,1.0104,1797.2,0.6035,0.9395,0
plan_change,fresh,1,1.0347,1912.92,0.6424,1.0,0
plan_stable,stale,5,6.6372,63703.5,1.0,0.9876,0
plan_stable,isomer,5,1.0417,63746.78,1.0142,1.0016,0
plan_stable,oasis,5,1.7599,63684.68,1.025,1.0123,0
plan_stable,oasis_projected,5,1.0931,64143.43,1.0258,1.0131,0
plan_stable,calibrated_hybrid,5,1.052,64464.82,1.0212,1.0085,0
plan_stable,fresh,5,1.0523,63555.15,1.0126,1.0,0
